episode,action_id,count,accepted_count,rejected_count
0,2,1,1,0
0,4,1,1,0
0,5,1,1,0
0,6,1,1,0
0,7,1,1,0
0,12,2,2,0
0,13,2,2,0
0,14,1,1,0
0,15,1,1,0
0,17,1,1,0
0,18,2,2,0
0,19,2,2,0
0,20,1,1,0
0,21,1,1,0
0,23,2,2,0
1,5,1,1,0
1,7,1,1,0
1,8,1,1,0
1,9,1,1,0
1,10,1,1,0
1,11,2,2,0
1,15,1,1,0
1,17,2,2,0
1,18,2,2,0
1,20,2,2,0
1,21,3,3,0
1,23,3,3,0
2,2,2,2,0
2,5,1,1,0
2,6,1,1,0
2,7,1,1,0
2,8,2,2,0
2,10,1,1,0
2,12,2,2,0
2,13,1,1,0
2,15,2,2,0
2,16,2,2,0
2,19,1,1,0
2,20,2,2,0
2,21,1,1,0
2,22,1,1,0
3,0,1,1,0
3,1,1,1,0
3,2,1,1,0
3,5,2,2,0
3,6,1,1,0
3,8,1,1,0
3,10,1,1,0
3,11,2,2,0
3,12,1,1,0
3,13,3,3,0
3,16,1,1,0
3,17,2,2,0
3,18,1,1,0
3,20,1,1,0
3,21,1,1,0
4,0,2,2,0
4,2,1,1,0
4,4,1,1,0
4,6,1,1,0
4,8,1,1,0
4,10,1,1,0
4,11,1,1,0
4,12,3,3,0
4,13,1,1,0
4,14,1,1,0
4,15,1,1,0
4,16,1,1,0
4,19,1,1,0
4,20,1,1,0
4,21,1,1,0
4,22,2,2,0
5,2,2,2,0
5,6,1,1,0
5,9,1,1,0
5,10,2,2,0
5,12,1,1,0
5,13,1,1,0
5,14,1,1,0
5,15,2,2,0
5,16,1,1,0
5,17,2,2,0
5,20,1,1,0
5,22,3,3,0
5,23,2,2,0
6,0,3,3,0
6,6,1,1,0
6,7,1,1,0
6,8,3,3,0
6,9,2,2,0
6,10,1,1,0
6,11,1,1,0
6,12,3,3,0
6,16,2,2,0
6,18,1,1,0
6,19,1,1,0
6,21,1,1,0
7,2,1,1,0
7,5,2,2,0
7,6,1,1,0
7,8,2,2,0
7,10,1,1,0
7,11,1,1,0
7,12,1,1,0
7,13,2,2,0
7,14,2,2,0
7,15,1,1,0
7,17,1,1,0
7,19,1,1,0
7,21,1,1,0
7,22,2,2,0
7,23,1,1,0
8,2,1,1,0
8,6,3,3,0
8,8,2,2,0
8,9,1,1,0
8,10,2,2,0
8,13,2,2,0
8,14,1,1,0
8,15,1,1,0
8,17,1,1,0
8,18,2,2,0
8,22,3,3,0
8,23,1,1,0
9,1,1,1,0
9,7,1,1,0
9,8,2,2,0
9,11,3,3,0
9,12,2,2,0
9,14,1,1,0
9,16,1,1,0
9,19,4,4,0
9,20,1,1,0
9,21,2,2,0
9,22,2,2,0
10,5,1,1,0
10,8,3,3,0
10,11,2,2,0
10,12,2,2,0
10,13,2,2,0
10,16,1,1,0
10,17,1,1,0
10,20,1,1,0
10,21,1,1,0
10,22,2,2,0
10,23,4,4,0
11,2,1,1,0
11,3,1,1,0
11,4,1,1,0
11,6,1,1,0
11,8,1,1,0
11,9,1,1,0
11,10,1,1,0
11,11,2,2,0
11,12,1,1,0
11,14,2,2,0
11,15,2,2,0
11,16,1,1,0
11,17,1,1,0
11,18,1,1,0
11,19,1,1,0
11,21,1,1,0
11,23,1,1,0
12,0,1,1,0
12,2,2,2,0
12,6,1,1,0
12,7,1,1,0
12,8,2,2,0
12,9,1,1,0
12,12,1,1,0
12,13,1,1,0
12,15,1,1,0
12,16,2,2,0
12,17,1,1,0
12,18,2,2,0
12,20,1,1,0
12,22,1,1,0
12,23,2,2,0
13,0,1,1,0
13,5,2,2,0
13,8,2,2,0
13,9,2,2,0
13,10,1,1,0
13,11,4,4,0
13,12,2,2,0
13,13,1,1,0
13,14,1,1,0
13,18,1,1,0
13,21,3,3,0
14,2,1,1,0
14,3,1,1,0
14,5,1,1,0
14,7,1,1,0
14,8,4,4,0
14,10,1,1,0
14,11,1,1,0
14,12,2,2,0
14,13,1,1,0
14,15,2,2,0
14,16,1,1,0
14,20,1,1,0
14,21,1,1,0
14,23,2,2,0
15,5,1,1,0
15,6,2,2,0
15,7,1,1,0
15,8,1,1,0
15,9,1,1,0
15,10,2,2,0
15,12,2,2,0
15,15,2,2,0
15,16,2,2,0
15,18,1,1,0
15,19,1,1,0
15,21,2,2,0
15,22,1,1,0
15,23,1,1,0
16,0,1,1,0
16,2,3,3,0
16,8,1,1,0
16,9,1,1,0
16,10,1,1,0
16,11,1,1,0
16,12,3,3,0
16,13,1,1,0
16,14,1,1,0
16,16,1,1,0
16,17,1,1,0
16,18,1,1,0
16,19,1,1,0
16,20,1,1,0
16,21,2,2,0
17,2,2,2,0
17,4,2,2,0
17,6,2,2,0
17,8,1,1,0
17,9,1,1,0
17,10,2,2,0
17,12,1,1,0
17,13,3,3,0
17,14,1,1,0
17,15,2,2,0
17,16,1,1,0
17,21,1,1,0
17,23,1,1,0
18,6,1,1,0
18,8,4,4,0
18,9,1,1,0
18,10,2,2,0
18,11,2,2,0
18,12,1,1,0
18,13,1,1,0
18,15,4,4,0
18,17,1,1,0
18,20,1,1,0
18,22,1,1,0
18,23,1,1,0
19,2,1,1,0
19,8,6,6,0
19,9,2,2,0
19,13,2,2,0
19,15,1,1,0
19,16,2,2,0
19,17,1,1,0
19,18,2,2,0
19,21,2,2,0
19,23,1,1,0
20,2,1,1,0
20,3,1,1,0
20,7,1,1,0
20,8,3,3,0
20,9,2,2,0
20,11,1,1,0
20,12,2,2,0
20,14,1,1,0
20,15,3,3,0
20,16,1,1,0
20,19,1,1,0
20,20,1,1,0
20,21,2,2,0
21,4,1,1,0
21,7,1,1,0
21,8,2,2,0
21,9,2,2,0
21,10,2,2,0
21,11,3,3,0
21,12,1,1,0
21,13,1,1,0
