method,method_label,sweep_value,util_sum,weighted_success_sum,taskset_count,success_count,schedulable_ratio,weighted_schedulability_at_util
amc_max,AMC-max,0.025,5.150775154323688,5.150775154323688,200,200,1.0,1.0
amc_max,AMC-max,0.05,10.07037540116691,10.07037540116691,200,200,1.0,1.0
amc_max,AMC-max,0.075,15.04338597200767,15.04338597200767,200,200,1.0,1.0
amc_max,AMC-max,0.1,20.04086849950145,20.04086849950145,200,200,1.0,1.0
amc_max,AMC-max,0.125,25.019060320954665,25.019060320954665,200,200,1.0,1.0
amc_max,AMC-max,0.15,30.02093437157964,30.02093437157964,200,200,1.0,1.0
amc_max,AMC-max,0.175,35.030499093877054,35.030499093877054,200,200,1.0,1.0
amc_max,AMC-max,0.2,40.017940836065975,40.017940836065975,200,200,1.0,1.0
amc_max,AMC-max,0.225,45.02222291398512,45.02222291398512,200,200,1.0,1.0
amc_max,AMC-max,0.25,50.018001547393595,50.018001547393595,200,200,1.0,1.0
amc_max,AMC-max,0.275,55.01108189543884,55.01108189543884,200,200,1.0,1.0
amc_max,AMC-max,0.3,60.010768758605025,60.010768758605025,200,200,1.0,1.0
amc_max,AMC-max,0.325,65.02006878252787,65.02006878252787,200,200,1.0,1.0
amc_max,AMC-max,0.35,70.01846390244035,70.01846390244035,200,200,1.0,1.0
amc_max,AMC-max,0.375,75.01202198861318,75.01202198861318,200,200,1.0,1.0
amc_max,AMC-max,0.4,80.01557548408874,80.01557548408874,200,200,1.0,1.0
amc_max,AMC-max,0.425,85.00734050756178,85.00734050756178,200,200,1.0,1.0
amc_max,AMC-max,0.45,90.02562646434282,90.02562646434282,200,200,1.0,1.0
amc_max,AMC-max,0.475,95.00959003446926,95.00959003446926,200,200,1.0,1.0
amc_max,AMC-max,0.5,100.00809674930755,100.00809674930755,200,200,1.0,1.0
amc_max,AMC-max,0.525,105.01305593469255,103.96138599592649,200,198,0.99,0.9899853410663519
amc_max,AMC-max,0.55,110.00952575674204,108.35943521340234,200,197,0.985,0.9850004758043548
amc_max,AMC-max,0.575,115.00732285612823,110.98081821398728,200,193,0.965,0.9649891455418189
amc_max,AMC-max,0.6,120.01312837631649,116.4125158013484,200,194,0.97,0.9699981775020654
amc_max,AMC-max,0.625,125.01215125578443,119.38574606132802,200,191,0.955,0.9549931335639177
amc_max,AMC-max,0.65,130.00715917367782,118.305360216203,200,182,0.91,0.9099911187056839
amc_max,AMC-max,0.675,135.00066168769658,118.80010208670703,200,176,0.88,0.8799964429917605
amc_max,AMC-max,0.7,140.00390749043603,114.80405359218891,200,164,0.82,0.8200060673308809
amc_max,AMC-max,0.725,145.00328619005472,110.2060767022142,200,152,0.76,0.7600246835631568
