figure,sweep_type,sweep_value,util_level,taskset_id,seed,num_tasks,cf,cp,actual_total_util_lo,actual_total_util_hi,deadline_mode,method,method_label,priority_policy,schedulable,details
fig1,util,0.025,0.025,0,2026,20,2.0,0.5,0.02471408867422892,0.01862945351709397,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,0,2026,20,2.0,0.5,0.02471408867422892,0.01862945351709397,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,0,2026,20,2.0,0.5,0.02471408867422892,0.01862945351709397,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,0,2026,20,2.0,0.5,0.02471408867422892,0.01862945351709397,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,0,2026,20,2.0,0.5,0.02471408867422892,0.01862945351709397,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig1,util,0.025,0.025,0,2026,20,2.0,0.5,0.02471408867422892,0.01862945351709397,implicit,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig1,util,0.025,0.025,1,2027,20,2.0,0.5,0.0260495158172743,0.030817747096359444,implicit,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig1,util,0.025,0.025,1,2027,20,2.0,0.5,0.0260495158172743,0.030817747096359444,implicit,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig1,util,0.025,0.025,1,2027,20,2.0,0.5,0.0260495158172743,0.030817747096359444,implicit,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig1,util,0.025,0.025,1,2027,20,2.0,0.5,0.0260495158172743,0.030817747096359444,implicit,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig1,util,0.025,0.025,1,2027,20,2.0,0.5,0.0260495158172743,0.030817747096359444,implicit,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
