method,method_label,sweep_value,util_sum,weighted_success_sum,taskset_count,success_count,util_level_count,schedulable_ratio,weighted_schedulability
amc_max,AMC-max,0.05,3900.657428308773,3450.403824689263,7800,7327,39,0.9393589743589743,0.8845698162694772
amc_max,AMC-max,0.15,3900.5964099178354,3421.360981032445,7800,7295,39,0.9352564102564103,0.8771379095599677
amc_max,AMC-max,0.25,3900.614245631056,3350.3669821432927,7800,7213,39,0.9247435897435897,0.8589331759468202
amc_max,AMC-max,0.35,3900.616395335326,3210.7834874117348,7800,7047,39,0.9034615384615384,0.8231477187173418
amc_max,AMC-max,0.45,3900.5319053659896,2926.8269166273903,7800,6697,39,0.8585897435897436,0.750366100736398
amc_max,AMC-max,0.55,3900.6757465066307,2511.7824239812617,7800,6171,39,0.7911538461538462,0.6439352017995255
amc_max,AMC-max,0.65,3900.64466405447,2048.311711070041,7800,5539,39,0.7101282051282052,0.5251213292884136
amc_max,AMC-max,0.75,3900.6886251168717,1608.216513961928,7800,4893,39,0.6273076923076923,0.4122904103666421
amc_max,AMC-max,0.85,3900.609152748083,1253.862482204243,7800,4331,39,0.5552564102564103,0.32145299185407067
amc_max,AMC-max,0.95,3900.611465937946,965.8476089163332,7800,3817,39,0.48935897435897435,0.24761441054834316
amc_rtb,AMC-rtb,0.05,3900.657428308773,3448.4781632250147,7800,7325,39,0.9391025641025641,0.8840761401393272
amc_rtb,AMC-rtb,0.15,3900.5964099178354,3409.037467594372,7800,7281,39,0.9334615384615385,0.8739785174714301
amc_rtb,AMC-rtb,0.25,3900.614245631056,3326.4137677998046,7800,7185,39,0.9211538461538461,0.8527922932972946
amc_rtb,AMC-rtb,0.35,3900.616395335326,3144.0827161789884,7800,6967,39,0.8932051282051282,0.8060476595286166
amc_rtb,AMC-rtb,0.45,3900.5319053659896,2850.6265562439057,7800,6605,39,0.8467948717948718,0.7308302112135728
amc_rtb,AMC-rtb,0.55,3900.6757465066307,2433.4073639376625,7800,6071,39,0.7783333333333333,0.623842513984141
