method,method_label,sweep_value,util_level,util_sum,weighted_success_sum,taskset_count,success_count,schedulable_ratio,weighted_schedulability_at_util
amc_max,AMC-max,8.0,0.025,5.024665051583793,5.024665051583793,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.05,10.005838721274808,10.005838721274808,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.075,15.009759010999712,15.009759010999712,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.1,20.00367470925149,20.00367470925149,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.125,25.003683676282105,25.003683676282105,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.15,30.009808719248486,30.009808719248486,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.175,34.99845917233918,34.99845917233918,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.2,40.00273332950032,40.00273332950032,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.225,45.00375974680196,45.00375974680196,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.25,50.008963550275524,50.008963550275524,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.275,55.00154474616041,55.00154474616041,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.3,60.005270244893815,60.005270244893815,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.325,64.99995749209297,64.99995749209297,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.35,69.99902527296116,69.99902527296116,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.375,75.00775725714006,75.00775725714006,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.4,80.00143911366278,80.00143911366278,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.425,85.00040657009436,85.00040657009436,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.45,90.00234645289902,90.00234645289902,200,200,1.0,1.0
amc_max,AMC-max,8.0,0.475,95.00068445681188,94.52575297836653,200,199,0.995,0.9950007572981091
amc_max,AMC-max,8.0,0.5,99.99743245891499,96.99710149936924,200,194,0.97,0.9699959200374623
amc_max,AMC-max,8.0,0.525,104.99583801363,101.8456440695333,200,194,0.97,0.9699969636540472
amc_max,AMC-max,8.0,0.55,109.99981894944561,100.65128785580912,200,183,0.915,0.9150132138132614
amc_max,AMC-max,8.0,0.575,115.00528806673842,97.75598248053048,200,170,0.85,0.8500129352643503
