figure,sweep_type,sweep_value,util_level,taskset_id,seed,num_tasks,cf,cp,actual_total_util_lo,actual_total_util_hi,deadline_mode,has_deadline_less_than_period,method,method_label,priority_policy,schedulable,details
fig5,util,0.025,0.025,0,2026,20,2.0,0.5,0.024843939921888956,0.018950807328231213,arbitrary_paper,True,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig5,util,0.025,0.025,0,2026,20,2.0,0.5,0.024843939921888956,0.018950807328231213,arbitrary_paper,True,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig5,util,0.025,0.025,0,2026,20,2.0,0.5,0.024843939921888956,0.018950807328231213,arbitrary_paper,True,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig5,util,0.025,0.025,0,2026,20,2.0,0.5,0.024843939921888956,0.018950807328231213,arbitrary_paper,True,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig5,util,0.025,0.025,0,2026,20,2.0,0.5,0.024843939921888956,0.018950807328231213,arbitrary_paper,True,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig5,util,0.025,0.025,0,2026,20,2.0,0.5,0.024843939921888956,0.018950807328231213,arbitrary_paper,True,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_10 在 classic_single_budget 分析下超过截止期"
fig5,util,0.025,0.025,1,2027,20,2.0,0.5,0.025646027366391797,0.03052393367555936,arbitrary_paper,True,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig5,util,0.025,0.025,1,2027,20,2.0,0.5,0.025646027366391797,0.03052393367555936,arbitrary_paper,True,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig5,util,0.025,0.025,1,2027,20,2.0,0.5,0.025646027366391797,0.03052393367555936,arbitrary_paper,True,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig5,util,0.025,0.025,1,2027,20,2.0,0.5,0.025646027366391797,0.03052393367555936,arbitrary_paper,True,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig5,util,0.025,0.025,1,2027,20,2.0,0.5,0.025646027366391797,0.03052393367555936,arbitrary_paper,True,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig5,util,0.025,0.025,1,2027,20,2.0,0.5,0.025646027366391797,0.03052393367555936,arbitrary_paper,True,crmpo_baseline,CrMPO,crmpo,True,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: classic_single_budget 分析通过"
fig5,util,0.025,0.025,2,2028,20,2.0,0.5,0.0256220275674547,0.0407991344957801,arbitrary_paper,True,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
fig5,util,0.025,0.025,2,2028,20,2.0,0.5,0.0256220275674547,0.0407991344957801,arbitrary_paper,True,amc_max,AMC-max,opa,True,"method=amc_max, priority_policy=opa, AMC-max 测试通过"
fig5,util,0.025,0.025,2,2028,20,2.0,0.5,0.0256220275674547,0.0407991344957801,arbitrary_paper,True,amc_rtb,AMC-rtb,opa,True,"method=amc_rtb, priority_policy=opa, AMC-rtb 测试通过"
fig5,util,0.025,0.025,2,2028,20,2.0,0.5,0.0256220275674547,0.0407991344957801,arbitrary_paper,True,smc,SMC,opa,True,"method=smc, priority_policy=opa, SMC 测试通过"
fig5,util,0.025,0.025,2,2028,20,2.0,0.5,0.0256220275674547,0.0407991344957801,arbitrary_paper,True,smc_no,SMC-NO,opa,True,"method=smc_no, priority_policy=opa, SMC-no 测试通过"
fig5,util,0.025,0.025,2,2028,20,2.0,0.5,0.0256220275674547,0.0407991344957801,arbitrary_paper,True,crmpo_baseline,CrMPO,crmpo,False,"method=crmpo_baseline, priority_policy=crmpo, CrMPO baseline: 任务 tau_5 在 classic_single_budget 分析下超过截止期"
fig5,util,0.025,0.025,3,2029,20,2.0,0.5,0.025503268155087067,0.03319953058796082,arbitrary_paper,True,ub_hl,UB-H&L,dm,True,"method=ub_hl, priority_policy=dm, UB-H&L 测试通过"
