leaf_id,path_depth,raw_action_id,action_ranking,path_text
2,2,9,"[9, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",T08.mc_lo_3.util_budget <= 16260 AND T09.mc_lo_5.recent_cost_norm <= 190037
3,2,8,"[8, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",T08.mc_lo_3.util_budget <= 16260 AND T09.mc_lo_5.recent_cost_norm > 190037
7,4,9,"[9, 11, 23, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",T08.mc_lo_3.util_budget > 16260 AND T09.mc_lo_5.util_budget <= 55240 AND T08.mc_lo_3.risk <= 92546 AND T06.mc_hi_5.recent_cost_norm <= 716225
8,4,9,"[9, 11, 23, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",T08.mc_lo_3.util_budget > 16260 AND T09.mc_lo_5.util_budget <= 55240 AND T08.mc_lo_3.risk <= 92546 AND T06.mc_hi_5.recent_cost_norm > 716225
10,4,9,"[9, 11, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",T08.mc_lo_3.util_budget > 16260 AND T09.mc_lo_5.util_budget <= 55240 AND T08.mc_lo_3.risk > 92546 AND global.lo_budget_util <= 268090
11,4,11,"[11, 9, 23, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",T08.mc_lo_3.util_budget > 16260 AND T09.mc_lo_5.util_budget <= 55240 AND T08.mc_lo_3.risk > 92546 AND global.lo_budget_util > 268090
14,4,11,"[11, 23, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",T08.mc_lo_3.util_budget > 16260 AND T09.mc_lo_5.util_budget > 55240 AND global.lo_budget_util <= 315890 AND T11.mc_lo_4.util_budget <= 52410
15,4,11,"[11, 23, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",T08.mc_lo_3.util_budget > 16260 AND T09.mc_lo_5.util_budget > 55240 AND global.lo_budget_util <= 315890 AND T11.mc_lo_4.util_budget > 52410
17,4,11,"[11, 23, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",T08.mc_lo_3.util_budget > 16260 AND T09.mc_lo_5.util_budget > 55240 AND global.lo_budget_util > 315890 AND T01.mc_hi_1.recent_cost_norm <= 853627
18,4,23,"[23, 11, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",T08.mc_lo_3.util_budget > 16260 AND T09.mc_lo_5.util_budget > 55240 AND global.lo_budget_util > 315890 AND T01.mc_hi_1.recent_cost_norm > 853627
