leaf_id,path_depth,predicted_action_id,predicted_action_summary,leaf_n_node_samples,leaf_impurity,path_text
2,2,9,9,244,0.0,T08.mc_lo_3.util_budget <= 16260.000000 AND T09.mc_lo_5.recent_cost_norm <= 190037.000000
3,2,8,8,14379,0.0,T08.mc_lo_3.util_budget <= 16260.000000 AND T09.mc_lo_5.recent_cost_norm > 190037.000000
7,4,9,9,2804,0.10822907360790879,T08.mc_lo_3.util_budget > 16260.000000 AND T09.mc_lo_5.util_budget <= 55240.000000 AND T08.mc_lo_3.risk <= 92546.500000 AND T06.mc_hi_5.recent_cost_norm <= 716225.000000
8,4,9,9,185,0.5702848794740687,T08.mc_lo_3.util_budget > 16260.000000 AND T09.mc_lo_5.util_budget <= 55240.000000 AND T08.mc_lo_3.risk <= 92546.500000 AND T06.mc_hi_5.recent_cost_norm > 716225.000000
10,4,9,9,248,0.18128902185223728,T08.mc_lo_3.util_budget > 16260.000000 AND T09.mc_lo_5.util_budget <= 55240.000000 AND T08.mc_lo_3.risk > 92546.500000 AND global.lo_budget_util <= 268090.000000
11,4,11,11,581,0.5599225028957728,T08.mc_lo_3.util_budget > 16260.000000 AND T09.mc_lo_5.util_budget <= 55240.000000 AND T08.mc_lo_3.risk > 92546.500000 AND global.lo_budget_util > 268090.000000
14,4,11,11,8273,0.016066092473000282,T08.mc_lo_3.util_budget > 16260.000000 AND T09.mc_lo_5.util_budget > 55240.000000 AND global.lo_budget_util <= 315890.000000 AND T11.mc_lo_4.util_budget <= 52410.000000
15,4,11,11,931,0.34581159050764854,T08.mc_lo_3.util_budget > 16260.000000 AND T09.mc_lo_5.util_budget > 55240.000000 AND global.lo_budget_util <= 315890.000000 AND T11.mc_lo_4.util_budget > 52410.000000
17,4,11,11,2706,0.46240568029546447,T08.mc_lo_3.util_budget > 16260.000000 AND T09.mc_lo_5.util_budget > 55240.000000 AND global.lo_budget_util > 315890.000000 AND T01.mc_hi_1.recent_cost_norm <= 853627.000000
18,4,23,23,1649,0.2048234021685047,T08.mc_lo_3.util_budget > 16260.000000 AND T09.mc_lo_5.util_budget > 55240.000000 AND global.lo_budget_util > 315890.000000 AND T01.mc_hi_1.recent_cost_norm > 853627.000000
