workload,total_util,num_tasks,cf,cp,seed,taskset_seed,scenario_seed,method,q_network_type,amc_rtb_schedulable,attempts,end_time,agent_period,dqn_runtime_semantics,c_amc_sem_xf,reward_mode,forbid_decreasing_hi_budgets,enable_deploy_cap_mask,deploy_cap_mask_ratio,deploy_cap_mask_criticality,mode_changes,lo_cancellations,deadline_misses,budget_overruns,hdm,jne,ldm,nid,tid,total_time,tid_ratio,nid_per_1e6_time,mean_degraded_interval,safety_feasible,jne_plus_ldm,lo_job_losses_total,lo_budget_cancellations,lo_release_dropped_in_degraded_mode,lo_active_dropped_on_mode_switch,jne_residual_not_in_cancellations,active_drop_share_of_jne,accepted_actions,rejected_actions,step_count,selected_action_count,noop_actions,explicit_noop_actions,noop_action_rate,explicit_noop_action_rate,accepted_action_rate,rejection_rate,total_reward,check_safety,safety_checked_actions,safety_accepted_actions,safety_rejected_actions,valid_action_count_mean,masked_action_count_mean,masked_decrease_hi_forbidden_count,masked_decrease_hi_forbidden_rate,masked_action_count_max,mask_rejection_rate_mean,selected_invalid_mask_actions,selected_explicit_noop_actions,selected_explicit_noop_rate,action_space_type,action_count,budget_increase_ratio,budget_decrease_ratio,budget_floor_ratio,no_safe_action_steps,masked_budget_floor_violation_count,masked_budget_floor_violation_rate,masked_deploy_cap_increase_count,masked_deploy_cap_increase_rate,observation_mode,state_dim,tree_runtime_policy_type,tree_state_encoding,tree_fixed_point_scale,tree_fixed_point_config_hash,tree_artifact_schema_version,integer_equivalence_verified,mean_over_increase_excess,over_increase_action_count,mean_budget_soft_cap_increase_excess,soft_cap_increase_action_count,mean_budget_soft_cap_penalty_value,mean_budget_soft_cap_dwell_excess_mean,mean_budget_soft_cap_dwell_excess_max,max_budget_soft_cap_dwell_excess_max,soft_cap_dwell_state_count,soft_cap_dwell_state_rate,mean_budget_soft_cap_dwell_penalty_value,mean_budget_soft_cap_dwell_max_penalty_value,mean_budget_soft_cap_dwell_total_penalty_value,safe_recovery_decrease_count,unsafe_decrease_full_count,mean_budget_over_drift_deadzone,mean_increase_concentration_excess,pingpong_action_count,mean_active_lo_under_hi_pressure,mean_active_lo_work_ratio,mean_active_lo_job_rate,mean_active_lo_under_hi_pressure_penalty_value,final_budget_ratio_by_task_json,max_budget_ratio_by_task_json,min_budget_ratio_by_task_json,increase_count_by_task_json,decrease_count_by_task_json,recovery_decrease_count_by_task_json,over_increase_count_by_task_json,consecutive_increase_max_by_task_json,over_budget_dwell_steps_by_task_json,soft_cap_dwell_steps_by_task_json,released_lo_jobs,cancelled_lo_jobs,completed_lo_jobs,lo_deadline_misses,hi_deadline_misses,lc_service_loss,lc_qos,min_lc_service,budget_adjust_count,mean_abs_budget_change,lo_equiv_jne,lo_equiv_jne_rate,lo_quality_qos,lo_quality_loss,lo_full_quality_completed,lo_full_quality_ratio,lo_degraded_released,lo_degraded_completed,lo_degraded_cancelled,lo_degraded_deadline_missed,lo_degraded_not_completed,lo_degraded_release_ratio,lo_degraded_completion_ratio,lo_degraded_among_completed_ratio,lo_degraded_quality_sum,lo_degraded_budget_sum,lo_degraded_original_budget_sum,lo_degraded_budget_ratio_mean,lo_degraded_exec_time_sum,lo_degraded_exec_time_ratio,lo_zero_service_jobs,lo_zero_service_ratio,lo_full_quality_service_sum,lo_total_service_sum,noop_q_mean,noop_q_std,noop_q_rank_mean,noop_q_rank_median,noop_q_rank_min,noop_q_rank_max,noop_q_margin_to_best_mean,noop_q_is_best_rate,noop_valid_rate,noop_q_sample_count,tree_id,tree_method,tree_depth,tree_node_count,tree_leaf_count,tree_max_depth_param,tree_min_samples_leaf,tree_raw_top1_invalid_count,tree_raw_top1_invalid_rate,tree_fallback_count,tree_fallback_rate,tree_no_valid_action_count,tree_no_valid_action_rate,tree_selected_action_count,tree_selected_action_match_teacher_count,tree_selected_action_match_teacher_rate,tree_raw_action_match_teacher_rate,tree_q_regret_mean,tree_q_regret_p95
mc_fairgen,0.65,12,2.0,0.5,1550,185,101550,c_amc_sem_baseline,,True,1,20000000,25000,C_AMC_SEM,0.5,interval_qos_v2_single_recovery_full_C5_overinc016_abs005,True,True,4.0,lo,476,807,0,1283,0,807,0,476,4737109,20000000,0.23685545,23.8,9951.909663865546,1,807,807,807,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,True,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,single,24,0.02,0.02,0.9,0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,807,6393,0,0,0.11208333333333333,0.8879166666666667,0.8575,0,,1192.5,0.165625,0.834375,0.16562500000000002,5622,0.7808333333333334,771,771,0,0,0,0.10708333333333334,0.10708333333333334,0.12060065696855936,385.5,254430.0,508089.0,0.5007587253414271,254430.0,0.06485144805078616,807,0.11208333333333333,5622.0,6007.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mc_fairgen,0.65,12,2.0,0.5,1550,185,101550,dqn_agent,mlp,True,1,20000000,25000,C_AMC_SEM,0.5,interval_qos_v2_single_recovery_full_C5_overinc016_abs005,True,True,4.0,lo,476,574,0,1050,0,574,0,476,4750566,20000000,0.2375283,23.8,9980.180672268907,1,574,574,574,0,0,0,0.0,800,0,800,800,0,0,0.0,0.0,1.0,0.0,-427.99964480556855,True,800,800,0,9.28125,14.71875,4800,0.25,15,0.61328125,0,0,0.0,single,24,0.02,0.02,0.9,0,0,0.0,1375,0.07161458333333333,v11_full_10d,128,,,,,,,0.3784665540129095,473,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,319,0,0.4837334600688102,4.685,299,0.08063185141078964,0.8320833333333333,0.8320833333333333,0.0,"{""mc_hi_0"": 1.0, ""mc_hi_1"": 1.0, ""mc_hi_2"": 1.0, ""mc_hi_3"": 1.0, ""mc_hi_4"": 1.0, ""mc_hi_5"": 1.0, ""mc_lo_0"": 1.0, ""mc_lo_1"": 1.0, ""mc_lo_2"": 1.0, ""mc_lo_3"": 4.029411764705882, ""mc_lo_4"": 1.661904761904762, ""mc_lo_5"": 4.043478260869565}","{""mc_hi_0"": 1.0, ""mc_hi_1"": 1.0, ""mc_hi_2"": 1.0, ""mc_hi_3"": 1.0, ""mc_hi_4"": 1.0, ""mc_hi_5"": 1.0, ""mc_lo_0"": 1.0, ""mc_lo_1"": 1.0, ""mc_lo_2"": 1.0, ""mc_lo_3"": 4.029411764705882, ""mc_lo_4"": 2.1323809523809523, ""mc_lo_5"": 4.043478260869565}","{""mc_hi_0"": 1.0, ""mc_hi_1"": 1.0, ""mc_hi_2"": 1.0, ""mc_hi_3"": 1.0, ""mc_hi_4"": 1.0, ""mc_hi_5"": 1.0, ""mc_lo_0"": 1.0, ""mc_lo_1"": 1.0, ""mc_lo_2"": 1.0, ""mc_lo_3"": 1.0, ""mc_lo_4"": 1.0, ""mc_lo_5"": 1.0}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 62, ""mc_lo_4"": 351, ""mc_lo_5"": 68}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 0, ""mc_lo_4"": 319, ""mc_lo_5"": 0}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 0, ""mc_lo_4"": 319, ""mc_lo_5"": 0}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 60, ""mc_lo_4"": 348, ""mc_lo_5"": 65}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 62, ""mc_lo_4"": 18, ""mc_lo_5"": 60}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 798, ""mc_lo_4"": 709, ""mc_lo_5"": 736}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 0, ""mc_lo_4"": 0, ""mc_lo_5"": 0}",7200,574,6626,0,0,0.07972222222222222,0.9202777777777778,0.8575,800,55.39125,959.5,0.13326388888888888,0.8667361111111112,0.13326388888888885,5855,0.8131944444444444,771,771,0,0,0,0.10708333333333334,0.10708333333333334,0.11635979474796257,385.5,254430.0,508089.0,0.5007587253414271,254430.0,0.0643038463521474,574,0.07972222222222222,5855.0,6240.5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
mc_fairgen,0.65,12,2.0,0.5,1550,185,101550,bc_tree_agent,,True,1,20000000,25000,C_AMC_SEM,0.5,interval_qos_v2_single_recovery_full_C5_overinc016_abs005,True,True,4.0,lo,476,574,0,1050,0,574,0,476,4749969,20000000,0.23749845,,,,574,,,,,,,800,0,800,800,0,0,0.0,0.0,1.0,0.0,-441.14910865932256,True,800,800,0,9.09375,14.90625,,,16,0.62109375,0,0,0.0,single,24,0.02,0.02,0.9,0,,,,,v11_full_10d,128,integer_tree_ranked_valid_or_none,fixed_point_int,1000000,bb255908bec90f8d54945322db333c5c2d2df5af1c5e76fc9016dc8c975a381e,viper_integer_ranked_artifact_v1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,574,6626,0,0,0.07972222222222222,0.9202777777777778,0.8575,800,122.69875,959.5,0.13326388888888888,0.8667361111111112,0.13326388888888885,5855,0.8131944444444444,771,771,0,0,0,0.10708333333333334,0.10708333333333334,0.11635979474796257,385.5,254430.0,508089.0,0.5007587253414271,254430.0,0.06431465571828648,574,0.07972222222222222,5855.0,6240.5,,,,,,,,,,,bc_iter_001,bc,3,11,6,3,10,77,0.09625,77,0.09625,0,0.0,800,455,0.56875,0.4725,0.008631515502929687,0.03444080352783202
mc_fairgen,0.65,12,2.0,0.5,1550,185,101550,viper_tree_agent,,True,1,20000000,25000,C_AMC_SEM,0.5,interval_qos_v2_single_recovery_full_C5_overinc016_abs005,True,True,4.0,lo,476,572,0,1048,0,572,0,476,4750143,20000000,0.23750715,,,,572,,,,,,,800,0,800,800,0,0,0.0,0.0,1.0,0.0,-429.59903970057263,True,800,800,0,9.24125,14.75875,,,15,0.6149479166666667,0,0,0.0,single,24,0.02,0.02,0.9,0,,,,,v11_full_10d,128,integer_tree_ranked_valid_or_none,fixed_point_int,1000000,bb255908bec90f8d54945322db333c5c2d2df5af1c5e76fc9016dc8c975a381e,viper_integer_ranked_artifact_v1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,572,6628,0,0,0.07944444444444444,0.9205555555555556,0.8575,800,57.24875,957.5,0.1329861111111111,0.8670138888888889,0.13298611111111114,5857,0.8134722222222223,771,771,0,0,0,0.10708333333333334,0.10708333333333334,0.11632468316234158,385.5,254430.0,508089.0,0.5007587253414271,254430.0,0.06430721068263508,572,0.07944444444444444,5857.0,6242.5,,,,,,,,,,,viper_iter_002,viper,3,11,6,3,10,0,0.0,0,0.0,0,0.0,800,445,0.55625,0.55625,0.004174447059631348,0.01963539123535156
mc_fairgen,0.65,12,2.0,0.5,1551,185,101551,c_amc_sem_baseline,,True,1,20000000,25000,C_AMC_SEM,0.5,interval_qos_v2_single_recovery_full_C5_overinc016_abs005,True,True,4.0,lo,464,747,0,1211,0,747,0,464,4506157,20000000,0.22530785,23.200000000000003,9711.54525862069,1,747,747,747,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,True,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,single,24,0.02,0.02,0.9,0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,747,6453,0,0,0.10375,0.89625,0.8575,0,,1110.5,0.1542361111111111,0.8457638888888889,0.15423611111111113,5726,0.7952777777777778,727,727,0,0,0,0.10097222222222223,0.10097222222222223,0.11266077793274445,363.5,239910.0,479093.0,0.5007587253414271,239910.0,0.06126532782351418,747,0.10375,5726.0,6089.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mc_fairgen,0.65,12,2.0,0.5,1551,185,101551,dqn_agent,mlp,True,1,20000000,25000,C_AMC_SEM,0.5,interval_qos_v2_single_recovery_full_C5_overinc016_abs005,True,True,4.0,lo,464,507,0,971,0,507,0,464,4519192,20000000,0.2259596,23.200000000000003,9739.637931034482,1,507,507,507,0,0,0,0.0,800,0,800,800,0,0,0.0,0.0,1.0,0.0,-402.46862593940824,True,800,800,0,9.27875,14.72125,4800,0.25,15,0.6133854166666667,0,0,0.0,single,24,0.02,0.02,0.9,0,0,0.0,1377,0.07171875,v11_full_10d,128,,,,,,,0.33991714925100475,471,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,321,0,0.47784338933036985,4.71125,305,0.08223639441195511,0.8320833333333333,0.8320833333333333,0.0,"{""mc_hi_0"": 1.0, ""mc_hi_1"": 1.0, ""mc_hi_2"": 1.0, ""mc_hi_3"": 1.0, ""mc_hi_4"": 1.0, ""mc_hi_5"": 1.0, ""mc_lo_0"": 1.0, ""mc_lo_1"": 1.0, ""mc_lo_2"": 1.0, ""mc_lo_3"": 4.029411764705882, ""mc_lo_4"": 1.5333333333333334, ""mc_lo_5"": 4.043478260869565}","{""mc_hi_0"": 1.0, ""mc_hi_1"": 1.0, ""mc_hi_2"": 1.0, ""mc_hi_3"": 1.0, ""mc_hi_4"": 1.0, ""mc_hi_5"": 1.0, ""mc_lo_0"": 1.0, ""mc_lo_1"": 1.0, ""mc_lo_2"": 1.0, ""mc_lo_3"": 4.029411764705882, ""mc_lo_4"": 1.7847619047619048, ""mc_lo_5"": 4.043478260869565}","{""mc_hi_0"": 1.0, ""mc_hi_1"": 1.0, ""mc_hi_2"": 1.0, ""mc_hi_3"": 1.0, ""mc_hi_4"": 1.0, ""mc_hi_5"": 1.0, ""mc_lo_0"": 1.0, ""mc_lo_1"": 1.0, ""mc_lo_2"": 1.0, ""mc_lo_3"": 1.0, ""mc_lo_4"": 1.0, ""mc_lo_5"": 1.0}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 62, ""mc_lo_4"": 349, ""mc_lo_5"": 68}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 0, ""mc_lo_4"": 321, ""mc_lo_5"": 0}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 0, ""mc_lo_4"": 321, ""mc_lo_5"": 0}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 60, ""mc_lo_4"": 346, ""mc_lo_5"": 65}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 62, ""mc_lo_4"": 19, ""mc_lo_5"": 62}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 798, ""mc_lo_4"": 711, ""mc_lo_5"": 736}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 0, ""mc_lo_4"": 0, ""mc_lo_5"": 0}",7200,507,6693,0,0,0.07041666666666667,0.9295833333333333,0.8725,800,52.28125,870.5,0.12090277777777778,0.8790972222222222,0.1209027777777778,5966,0.8286111111111111,727,727,0,0,0,0.10097222222222223,0.10097222222222223,0.1086209472583296,363.5,239910.0,479093.0,0.5007587253414271,239910.0,0.0607515660791981,507,0.07041666666666667,5966.0,6329.5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
mc_fairgen,0.65,12,2.0,0.5,1551,185,101551,bc_tree_agent,,True,1,20000000,25000,C_AMC_SEM,0.5,interval_qos_v2_single_recovery_full_C5_overinc016_abs005,True,True,4.0,lo,464,506,0,970,0,506,0,464,4519047,20000000,0.22595235,,,,506,,,,,,,800,0,800,800,0,0,0.0,0.0,1.0,0.0,-413.46797505280995,True,800,800,0,9.11625,14.88375,,,16,0.62015625,0,0,0.0,single,24,0.02,0.02,0.9,0,,,,,v11_full_10d,128,integer_tree_ranked_valid_or_none,fixed_point_int,1000000,bb255908bec90f8d54945322db333c5c2d2df5af1c5e76fc9016dc8c975a381e,viper_integer_ranked_artifact_v1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,506,6694,0,0,0.07027777777777777,0.9297222222222222,0.8725,800,114.095,869.5,0.12076388888888889,0.8792361111111111,0.12076388888888889,5967,0.82875,727,727,0,0,0,0.10097222222222223,0.10097222222222223,0.10860472064535405,363.5,239910.0,479093.0,0.5007587253414271,239910.0,0.06076093632271096,506,0.07027777777777777,5967.0,6330.5,,,,,,,,,,,bc_iter_001,bc,3,11,6,3,10,60,0.075,60,0.075,0,0.0,800,464,0.58,0.505,0.008045897483825684,0.033026313781738245
mc_fairgen,0.65,12,2.0,0.5,1551,185,101551,viper_tree_agent,,True,1,20000000,25000,C_AMC_SEM,0.5,interval_qos_v2_single_recovery_full_C5_overinc016_abs005,True,True,4.0,lo,464,504,0,968,0,504,0,464,4519120,20000000,0.225956,,,,504,,,,,,,800,0,800,800,0,0,0.0,0.0,1.0,0.0,-403.4571879272298,True,800,800,0,9.24125,14.75875,,,15,0.6149479166666667,0,0,0.0,single,24,0.02,0.02,0.9,0,,,,,v11_full_10d,128,integer_tree_ranked_valid_or_none,fixed_point_int,1000000,bb255908bec90f8d54945322db333c5c2d2df5af1c5e76fc9016dc8c975a381e,viper_integer_ranked_artifact_v1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,504,6696,0,0,0.07,0.9299999999999999,0.8725,800,57.24875,867.5,0.12048611111111111,0.8795138888888889,0.12048611111111107,5969,0.8290277777777778,727,727,0,0,0,0.10097222222222223,0.10097222222222223,0.10857228195937874,363.5,239910.0,479093.0,0.5007587253414271,239910.0,0.06074804336910457,504,0.07,5969.0,6332.5,,,,,,,,,,,viper_iter_002,viper,3,11,6,3,10,0,0.0,0,0.0,0,0.0,800,457,0.57125,0.57125,0.004317255020141602,0.019394493103027342
mc_fairgen,0.65,12,2.0,0.5,1552,185,101552,c_amc_sem_baseline,,True,1,20000000,25000,C_AMC_SEM,0.5,interval_qos_v2_single_recovery_full_C5_overinc016_abs005,True,True,4.0,lo,487,725,0,1212,0,725,0,487,4736062,20000000,0.2368031,24.349999999999998,9724.973305954825,1,725,725,725,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,True,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,single,24,0.02,0.02,0.9,0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,725,6475,0,0,0.10069444444444445,0.8993055555555556,0.86875,0,,1108.0,0.15388888888888888,0.8461111111111111,0.15388888888888885,5709,0.7929166666666667,766,766,0,0,0,0.1063888888888889,0.1063888888888889,0.1183011583011583,383.0,252780.0,504794.0,0.5007587253414271,252780.0,0.0645496881681632,725,0.10069444444444445,5709.0,6092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mc_fairgen,0.65,12,2.0,0.5,1552,185,101552,dqn_agent,mlp,True,1,20000000,25000,C_AMC_SEM,0.5,interval_qos_v2_single_recovery_full_C5_overinc016_abs005,True,True,4.0,lo,487,516,0,1003,0,516,0,487,4753351,20000000,0.23766755,24.349999999999998,9760.474332648871,1,516,516,516,0,0,0,0.0,800,0,800,800,0,0,0.0,0.0,1.0,0.0,-412.3236726212437,True,800,800,0,9.30875,14.69125,4800,0.25,15,0.6121354166666667,0,0,0.0,single,24,0.02,0.02,0.9,0,0,0.0,1353,0.07046875,v11_full_10d,128,,,,,,,0.3428004825843381,468,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,324,0,0.4755877820149799,4.1525,281,0.08347726890171508,0.8320833333333333,0.8320833333333333,0.0,"{""mc_hi_0"": 1.0, ""mc_hi_1"": 1.0, ""mc_hi_2"": 1.0, ""mc_hi_3"": 1.0, ""mc_hi_4"": 1.0, ""mc_hi_5"": 1.0, ""mc_lo_0"": 1.0, ""mc_lo_1"": 1.0, ""mc_lo_2"": 1.0, ""mc_lo_3"": 4.029411764705882, ""mc_lo_4"": 1.3595238095238096, ""mc_lo_5"": 4.043478260869565}","{""mc_hi_0"": 1.0, ""mc_hi_1"": 1.0, ""mc_hi_2"": 1.0, ""mc_hi_3"": 1.0, ""mc_hi_4"": 1.0, ""mc_hi_5"": 1.0, ""mc_lo_0"": 1.0, ""mc_lo_1"": 1.0, ""mc_lo_2"": 1.0, ""mc_lo_3"": 4.029411764705882, ""mc_lo_4"": 1.8538095238095238, ""mc_lo_5"": 4.043478260869565}","{""mc_hi_0"": 1.0, ""mc_hi_1"": 1.0, ""mc_hi_2"": 1.0, ""mc_hi_3"": 1.0, ""mc_hi_4"": 1.0, ""mc_hi_5"": 1.0, ""mc_lo_0"": 1.0, ""mc_lo_1"": 1.0, ""mc_lo_2"": 1.0, ""mc_lo_3"": 1.0, ""mc_lo_4"": 1.0, ""mc_lo_5"": 1.0}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 62, ""mc_lo_4"": 346, ""mc_lo_5"": 68}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 0, ""mc_lo_4"": 324, ""mc_lo_5"": 0}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 0, ""mc_lo_4"": 324, ""mc_lo_5"": 0}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 60, ""mc_lo_4"": 343, ""mc_lo_5"": 65}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 62, ""mc_lo_4"": 15, ""mc_lo_5"": 53}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 798, ""mc_lo_4"": 725, ""mc_lo_5"": 736}","{""mc_hi_0"": 0, ""mc_hi_1"": 0, ""mc_hi_2"": 0, ""mc_hi_3"": 0, ""mc_hi_4"": 0, ""mc_hi_5"": 0, ""mc_lo_0"": 0, ""mc_lo_1"": 0, ""mc_lo_2"": 0, ""mc_lo_3"": 0, ""mc_lo_4"": 0, ""mc_lo_5"": 0}",7200,516,6684,0,0,0.07166666666666667,0.9283333333333333,0.86875,800,52.6375,899.0,0.12486111111111112,0.8751388888888889,0.12486111111111109,5918,0.8219444444444445,766,766,0,0,0,0.1063888888888889,0.1063888888888889,0.11460203470975464,383.0,252780.0,504794.0,0.5007587253414271,252780.0,0.06399712395233761,516,0.07166666666666667,5918.0,6301.0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
