seed,parent_lo_quality_qos,teacher_lo_quality_qos,qos_retention,parent_lo_zero_service_ratio,teacher_lo_zero_service_ratio,zero_service_retention,parent_lo_equiv_jne,teacher_lo_equiv_jne,tree_lo_quality_qos,tree_lo_zero_service_ratio,tree_lo_equiv_jne,equiv_jne_retention,tree_depth,tree_node_count,tree_leaf_count,tree_raw_top1_invalid_rate,tree_fallback_rate,tree_deadline_misses,tree_hi_deadline_misses,tree_lo_deadline_misses,teacher_no_positive_qos_gain,teacher_no_positive_zero_service_gain,teacher_no_positive_equiv_jne_gain
1550,0.834375,0.8667361111111112,1.0128755364806852,0.11208333333333333,0.07972222222222222,1.0128755364806865,1192.5,959.5,0.8671527777777778,0.07930555555555556,956.5,1.0128755364806867,4,19,10,0.1225,0.1225,0,0,0,False,False,False
1551,0.8457638888888889,0.8790972222222222,1.016666666666666,0.10375,0.07041666666666667,1.0166666666666668,1110.5,870.5,0.8796527777777777,0.06986111111111111,866.5,1.0166666666666666,4,19,10,0.12,0.12,0,0,0,False,False,False
1552,0.8461111111111111,0.8751388888888889,1.0239234449760766,0.10069444444444445,0.07166666666666667,1.0239234449760766,1108.0,899.0,0.8758333333333334,0.07097222222222223,894.0,1.0239234449760766,4,19,10,0.085,0.085,0,0,0,False,False,False
1553,0.8339583333333334,0.8629861111111111,1.047846889952153,0.10625,0.07722222222222222,1.047846889952153,1195.5,986.5,0.864375,0.07583333333333334,976.5,1.0478468899521531,4,19,10,0.11,0.11,0,0,0,False,False,False
1554,0.8417361111111111,0.8728472222222222,1.0178571428571421,0.10458333333333333,0.07347222222222222,1.0178571428571426,1139.5,915.5,0.8734027777777778,0.07291666666666667,911.5,1.0178571428571428,4,19,10,0.1425,0.1425,0,0,0,False,False,False
1555,0.8516666666666667,0.8770833333333333,1.0054644808743178,0.0973611111111111,0.07194444444444445,1.0054644808743172,1068.0,885.0,0.8772222222222222,0.07180555555555555,884.0,1.005464480874317,4,19,10,0.095,0.095,0,0,0,False,False,False
1556,0.8434722222222222,0.8709027777777778,1.0405063291139223,0.10222222222222223,0.07472222222222222,1.0404040404040402,1127.0,929.5,0.8720138888888889,0.07361111111111111,921.5,1.040506329113924,4,19,10,0.09,0.09,0,0,0,False,False,False
1557,0.8324305555555556,0.8617361111111111,1.018957345971563,0.1123611111111111,0.08305555555555555,1.0189573459715637,1206.5,995.5,0.8622916666666667,0.0825,991.5,1.018957345971564,4,19,10,0.07875,0.07875,0,0,0,False,False,False
1558,0.8363888888888888,0.8657638888888889,1.0567375886524835,0.1075,0.07805555555555556,1.0566037735849056,1178.0,966.5,0.8674305555555556,0.0763888888888889,954.5,1.0567375886524824,4,19,10,0.0675,0.0675,0,0,0,False,False,False
1559,0.8439583333333334,0.8725694444444444,1.0242718446601942,0.10152777777777777,0.07291666666666667,1.0242718446601946,1123.5,917.5,0.8732638888888888,0.07222222222222222,912.5,1.0242718446601942,4,19,10,0.1,0.1,0,0,0,False,False,False
1560,0.834375,0.8672916666666667,1.025316455696203,0.11,0.07708333333333334,1.0253164556962027,1192.5,955.5,0.868125,0.07625,949.5,1.0253164556962024,4,19,10,0.0725,0.0725,0,0,0,False,False,False
1561,0.8395833333333333,0.87,1.0547945205479465,0.10833333333333334,0.07791666666666666,1.054794520547945,1155.0,936.0,0.8716666666666667,0.07625,924.0,1.0547945205479452,4,19,10,0.10125,0.10125,0,0,0,False,False,False
