episode,action_id,count,accepted_count,rejected_count
0,2,1,1,0
0,4,1,1,0
0,5,1,1,0
0,6,1,1,0
0,7,1,1,0
0,12,2,2,0
0,13,2,2,0
0,14,1,1,0
0,15,1,1,0
0,17,1,1,0
0,18,2,2,0
0,19,2,2,0
0,20,1,1,0
0,21,1,1,0
0,23,2,2,0
1,5,1,1,0
1,7,1,1,0
1,8,1,1,0
1,9,1,1,0
1,10,1,1,0
1,11,2,2,0
1,15,1,1,0
1,17,2,2,0
1,18,2,2,0
1,20,2,2,0
1,21,3,3,0
1,23,3,3,0
2,1,1,1,0
2,2,1,1,0
2,5,1,1,0
2,6,1,1,0
2,7,1,1,0
2,8,1,1,0
2,10,1,1,0
2,12,2,2,0
2,13,1,1,0
2,15,2,2,0
2,16,2,2,0
2,18,1,1,0
2,19,1,1,0
2,20,1,1,0
2,21,2,2,0
2,22,1,1,0
3,0,1,1,0
3,1,1,1,0
3,2,1,1,0
3,5,2,2,0
3,6,1,1,0
3,8,1,1,0
3,10,1,1,0
3,11,2,2,0
3,12,1,1,0
3,13,3,3,0
3,16,1,1,0
3,17,2,2,0
3,18,1,1,0
3,20,1,1,0
3,21,1,1,0
4,0,2,2,0
4,2,1,1,0
4,4,1,1,0
4,6,1,1,0
4,8,1,1,0
4,10,1,1,0
4,11,1,1,0
4,12,3,3,0
4,13,1,1,0
4,14,1,1,0
4,15,1,1,0
4,16,1,1,0
4,19,1,1,0
4,20,1,1,0
4,21,1,1,0
4,22,2,2,0
5,2,2,2,0
5,6,1,1,0
5,9,1,1,0
5,10,2,2,0
5,12,1,1,0
5,13,1,1,0
5,14,1,1,0
5,15,2,2,0
5,16,1,1,0
5,17,2,2,0
5,20,1,1,0
5,22,3,3,0
5,23,2,2,0
6,0,1,1,0
6,2,1,1,0
6,6,2,2,0
6,7,1,1,0
6,8,1,1,0
6,9,2,2,0
6,10,1,1,0
6,11,1,1,0
6,12,1,1,0
6,13,1,1,0
6,16,2,2,0
6,17,2,2,0
6,18,2,2,0
6,21,1,1,0
6,23,1,1,0
7,3,1,1,0
7,5,1,1,0
7,8,2,2,0
7,9,3,3,0
7,10,1,1,0
7,11,1,1,0
7,13,1,1,0
7,14,1,1,0
7,15,2,2,0
7,16,1,1,0
7,18,1,1,0
7,19,1,1,0
7,21,2,2,0
7,22,1,1,0
7,23,1,1,0
8,2,1,1,0
8,6,1,1,0
8,7,1,1,0
8,8,3,3,0
8,10,2,2,0
8,13,2,2,0
8,15,1,1,0
8,16,1,1,0
8,17,2,2,0
8,18,2,2,0
8,19,1,1,0
8,20,3,3,0
9,2,1,1,0
9,5,1,1,0
9,6,1,1,0
9,7,1,1,0
9,8,1,1,0
9,9,1,1,0
9,12,1,1,0
9,13,1,1,0
9,14,3,3,0
9,15,1,1,0
9,16,2,2,0
9,17,2,2,0
9,18,2,2,0
9,22,1,1,0
9,23,1,1,0
10,0,1,1,0
10,4,1,1,0
10,5,1,1,0
10,6,1,1,0
10,8,1,1,0
10,9,1,1,0
10,11,1,1,0
10,12,1,1,0
10,13,1,1,0
10,15,2,2,0
10,17,1,1,0
10,18,1,1,0
10,19,2,2,0
10,20,2,2,0
10,22,3,3,0
11,2,2,2,0
11,6,1,1,0
11,7,1,1,0
11,9,1,1,0
11,10,1,1,0
11,11,1,1,0
11,12,1,1,0
11,14,1,1,0
11,15,1,1,0
11,16,1,1,0
11,17,1,1,0
11,19,2,2,0
11,20,1,1,0
11,21,2,2,0
11,22,1,1,0
11,23,2,2,0
12,2,1,1,0
12,5,1,1,0
12,6,1,1,0
12,7,1,1,0
12,8,1,1,0
12,9,2,2,0
12,10,1,1,0
12,12,2,2,0
12,15,2,2,0
12,17,2,2,0
12,18,1,1,0
12,19,2,2,0
12,21,2,2,0
12,22,1,1,0
13,2,2,2,0
13,8,2,2,0
13,9,4,4,0
13,10,3,3,0
13,11,2,2,0
13,13,1,1,0
13,14,2,2,0
13,20,2,2,0
13,22,1,1,0
13,23,1,1,0
14,1,1,1,0
14,4,1,1,0
14,5,1,1,0
14,7,1,1,0
14,8,1,1,0
14,9,1,1,0
14,10,1,1,0
14,11,2,2,0
14,13,2,2,0
14,14,1,1,0
14,15,2,2,0
14,17,1,1,0
14,18,1,1,0
14,19,2,2,0
14,21,1,1,0
14,23,1,1,0
15,2,1,1,0
15,5,2,2,0
15,6,1,1,0
15,9,2,2,0
15,10,1,1,0
15,13,2,2,0
15,14,2,2,0
15,15,2,2,0
15,16,4,4,0
15,18,1,1,0
15,19,1,1,0
15,20,1,1,0
16,0,1,1,0
16,2,1,1,0
16,3,1,1,0
16,7,1,1,0
16,8,1,1,0
16,9,1,1,0
16,11,1,1,0
16,12,1,1,0
16,13,1,1,0
16,14,1,1,0
16,15,1,1,0
16,17,1,1,0
16,19,4,4,0
16,20,2,2,0
16,21,1,1,0
16,23,1,1,0
17,5,2,2,0
17,6,1,1,0
17,7,1,1,0
17,9,1,1,0
17,11,3,3,0
17,13,1,1,0
17,14,2,2,0
17,16,4,4,0
17,18,2,2,0
17,22,2,2,0
17,23,1,1,0
18,2,2,2,0
18,6,1,1,0
18,7,2,2,0
18,8,2,2,0
18,9,1,1,0
18,11,2,2,0
18,13,1,1,0
18,15,1,1,0
18,17,1,1,0
18,18,2,2,0
18,19,2,2,0
18,21,1,1,0
18,22,1,1,0
18,23,1,1,0
19,2,2,2,0
19,6,1,1,0
19,7,1,1,0
19,10,2,2,0
19,11,2,2,0
19,12,1,1,0
19,14,2,2,0
19,16,1,1,0
19,17,1,1,0
19,18,4,4,0
19,19,2,2,0
19,20,1,1,0
20,2,1,1,0
20,3,1,1,0
20,8,3,3,0
20,9,2,2,0
20,11,1,1,0
20,12,1,1,0
20,15,3,3,0
20,16,1,1,0
