episode,episode_seed,taskset_seed,scenario_seed,network_seed,exploration_seed,replay_seed,total_util,num_tasks,taskset_fingerprint,steps,step_count,selected_action_count,total_reward,epsilon,loss_mean,loss_last,accepted_actions,rejected_actions,noop_actions,explicit_noop_actions,noop_action_rate,explicit_noop_action_rate,accepted_action_rate,rejected_action_rate,safety_checked_actions,selected_invalid_mask_actions,action_space_type,action_count,budget_increase_ratio,budget_decrease_ratio,budget_floor_ratio,valid_action_count_mean,masked_action_count_mean,masked_decrease_hi_forbidden_count,masked_decrease_hi_forbidden_rate,masked_budget_floor_violation_count,masked_budget_floor_violation_rate,no_safe_action_steps,selected_explicit_noop_actions,selected_explicit_noop_rate,mode_changes,lo_cancellations,deadline_misses,job_starts,lo_overruns,hi_overruns,reward_job_start_sum,reward_lo_overrun_sum,reward_hi_overrun_sum,reward_mode_change_sum,reward_lo_cancellation_sum,reward_deadline_miss_sum,reward_paper_sum,reward_noop_bonus_sum,reward_budget_change_penalty_sum,reward_budget_change_norm_sum,reward_budget_drift_penalty_sum,reward_budget_drift_mean_sum,noop_exploration_prob,exploration_action_count,exploration_noop_action_count,exploration_noop_action_rate,observation_mode,state_dim,feature_safety_margin_min_mean,feature_safety_margin_min_p05
0,0,409,100000,0,0,0,0.65,12,3951c3bae678,20,20,20,-17.841868894450492,0.9962,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.333333333333332,4.666666666666667,0,0.0,40,0.041025641025641026,0,0,0.0,313,148,0,4739,148,313,0.0,-1.243543290996749,-4.673194616834738,-10.681587695622259,-1.243543290996749,0.0,0.0,0.0,0.0,0.5479928704847385,0.0,0.3562917882091478,0.0,20,0,0.0,v11_no_util_9d,116,0.003914905117495311,0.0
1,1,409,100001,0,0,0,0.65,12,3951c3bae678,20,20,20,-10.971874385757676,0.9924,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.384615384615383,6.615384615384615,0,0.0,12,0.012307692307692308,0,0,0.0,172,194,0,5033,194,172,0.0,-1.5385203697077525,-2.4027754575824,-5.492058188759772,-1.5385203697077525,0.0,0.0,0.0,0.0,0.6673489356449747,0.0,0.2268739770819062,0.0,20,0,0.0,v11_no_util_9d,116,0.0,0.0
2,2,409,100002,0,0,0,0.65,12,3951c3bae678,20,20,20,-16.447707385078548,0.9886,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,21.205128205128204,3.7948717948717947,0,0.0,38,0.038974358974358976,0,0,0.0,287,150,0,4802,150,287,0.0,-1.2351029577819974,-4.254022186373994,-9.72347928314056,-1.2351029577819974,0.0,0.0,0.0,0.0,0.6237139429276854,0.0,0.32342392198818365,0.0,19,0,0.0,v11_no_util_9d,116,0.00809131182985661,0.0
3,3,409,100003,0,0,0,0.65,12,3951c3bae678,20,20,20,-15.581442098824386,0.9848,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.025641025641026,4.9743589743589745,0,0.0,6,0.006153846153846154,0,0,0.0,273,150,0,4821,150,273,0.0,-1.2404578253069687,-3.987116745107529,-9.113409703102922,-1.2404578253069687,0.0,0.0,0.0,0.0,0.6481968603143422,0.0,0.14770321474530793,0.0,20,0,0.0,v11_no_util_9d,116,0.0015473887814313348,0.0
4,4,409,100004,0,0,0,0.65,12,3951c3bae678,20,20,20,-15.000280413785921,0.981,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,18.897435897435898,6.102564102564102,0,0.0,34,0.03487179487179487,0,0,0.0,259,157,0,4834,157,259,0.0,-1.2958236683281377,-3.776540501735111,-8.63209257539454,-1.2958236683281377,0.0,0.0,0.0,0.0,0.6740080752986716,0.0,0.23767286423060904,0.0,20,0,0.0,v11_no_util_9d,116,0.0016254542387752376,0.0
5,5,409,100005,0,0,0,0.65,12,3951c3bae678,20,20,20,-15.272555822810752,0.9772,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,22.58974358974359,2.41025641025641,0,0.0,6,0.006153846153846154,0,0,0.0,252,199,0,4871,199,252,0.0,-1.6362336977357486,-3.6522008257119474,-8.347887601627306,-1.6362336977357486,0.0,0.0,0.0,0.0,0.5462681821811314,0.0,0.2831509908536722,0.0,20,0,0.0,v11_no_util_9d,116,0.007837644932927077,0.001588628762541806
6,6,409,100006,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.577550574182295,0.9734,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.384615384615383,4.615384615384615,0,0.0,0,0.0,0,0,0.0,229,172,0,4947,172,229,0.0,-1.3862588726732386,-3.2884882522543792,-7.516544576581437,-1.3862588726732386,0.0,0.0,0.0,0.0,0.5655640063358163,0.0,0.12032498247648109,0.0,18,0,0.0,v11_no_util_9d,116,0.0003153106529609767,0.0
7,7,409,100007,0,0,0,0.65,12,3951c3bae678,20,20,20,-13.294736383497838,0.9696,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,20.333333333333332,4.666666666666667,0,0.0,0,0.0,0,0,0.0,222,172,0,4916,172,222,0.0,-1.391872671902736,-3.1989972729498497,-7.311993766742515,-1.391872671902736,0.0,0.0,0.0,0.0,0.6268975674939332,0.0,0.1413996858728749,0.0,19,0,0.0,v11_no_util_9d,116,0.0,0.0
8,8,409,100008,0,0,0,0.65,12,3951c3bae678,20,20,20,-12.473024803354228,0.9658,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,19.923076923076923,5.076923076923077,0,0.0,12,0.012307692307692308,0,0,0.0,199,197,0,4984,197,199,0.0,-1.5761932394804206,-2.8367160117719,-6.483922312621486,-1.5761932394804206,0.0,0.0,0.0,0.0,0.9037085277178845,0.0,0.1661316654419939,0.0,20,0,0.0,v11_no_util_9d,116,0.0,0.0
9,9,409,100009,0,0,0,0.65,12,3951c3bae678,20,20,20,-15.658985190837003,0.962,,,20,0,0,0,0.0,0.0,1.0,0.0,20,0,single,25,0.025,0.015,0.9,21.923076923076923,3.076923076923077,0,0.0,10,0.010256410256410256,0,0,0.0,264,185,0,4845,185,264,0.0,-1.5237185575514787,-3.838297240440795,-8.773250835293249,-1.5237185575514787,0.0,0.0,0.0,0.0,0.5797385348739804,0.0,0.1850174625517328,0.0,19,0,0.0,v11_no_util_9d,116,0.0021598968407479046,0.0
