episode,action_id,count,accepted_count,rejected_count
0,3,2,2,0
0,6,1,1,0
0,7,2,2,0
0,11,1,1,0
0,13,2,2,0
0,15,2,2,0
0,16,2,2,0
0,17,1,1,0
0,18,2,2,0
0,19,1,1,0
0,20,1,1,0
0,21,1,1,0
0,23,2,2,0
1,2,1,1,0
1,6,1,1,0
1,7,1,1,0
1,8,2,2,0
1,9,1,1,0
1,13,2,2,0
1,14,1,1,0
1,16,1,1,0
1,17,2,2,0
1,18,1,1,0
1,19,1,1,0
1,20,2,2,0
1,21,1,1,0
1,23,3,3,0
2,3,1,1,0
2,7,2,2,0
2,8,2,2,0
2,9,1,1,0
2,10,3,3,0
2,11,1,1,0
2,14,4,4,0
2,17,1,1,0
2,18,1,1,0
2,19,1,1,0
2,20,1,1,0
2,21,1,1,0
2,23,1,1,0
3,6,3,3,0
3,7,1,1,0
3,8,1,1,0
3,9,4,4,0
3,11,3,3,0
3,13,1,1,0
3,16,1,1,0
3,18,2,2,0
3,19,1,1,0
3,21,1,1,0
3,22,2,2,0
4,6,2,2,0
4,7,2,2,0
4,8,1,1,0
4,9,2,2,0
4,10,2,2,0
4,11,2,2,0
4,15,1,1,0
4,16,1,1,0
4,17,1,1,0
4,18,2,2,0
4,20,1,1,0
4,21,1,1,0
4,22,1,1,0
4,23,1,1,0
5,6,2,2,0
5,7,1,1,0
5,8,2,2,0
5,9,1,1,0
5,10,1,1,0
5,11,3,3,0
5,13,2,2,0
5,20,4,4,0
5,21,2,2,0
5,22,2,2,0
6,5,1,1,0
6,6,2,2,0
6,9,2,2,0
6,10,2,2,0
6,11,2,2,0
6,13,1,1,0
6,15,1,1,0
6,16,1,1,0
6,17,1,1,0
6,18,2,2,0
6,19,1,1,0
6,21,2,2,0
6,22,1,1,0
6,23,1,1,0
7,4,1,1,0
7,5,2,2,0
7,7,1,1,0
7,8,2,2,0
7,11,2,2,0
7,13,3,3,0
7,15,1,1,0
7,16,2,2,0
7,17,2,2,0
7,20,1,1,0
7,21,1,1,0
7,22,1,1,0
7,23,1,1,0
8,1,1,1,0
8,3,1,1,0
8,6,1,1,0
8,7,1,1,0
8,8,2,2,0
8,9,2,2,0
8,13,2,2,0
8,14,2,2,0
8,16,1,1,0
8,17,1,1,0
8,18,2,2,0
8,20,1,1,0
8,22,1,1,0
8,23,2,2,0
9,3,1,1,0
9,5,1,1,0
9,6,1,1,0
9,7,2,2,0
9,9,1,1,0
9,10,1,1,0
9,11,2,2,0
9,13,1,1,0
9,14,1,1,0
9,15,2,2,0
9,17,1,1,0
9,19,2,2,0
9,20,1,1,0
9,22,3,3,0
10,2,1,1,0
10,6,1,1,0
10,8,2,2,0
10,11,2,2,0
10,13,1,1,0
10,14,3,3,0
10,15,1,1,0
10,16,1,1,0
10,19,1,1,0
10,20,2,2,0
10,21,2,2,0
